iter	F1	Logloss
0	0.3086243763	0.6843182396
1	0.4213876512	0.6698989802
2	0.4269449715	0.6630966425
3	0.4069122921	0.651426630244	0.4323983612	0.640274354555	0.3284210526	0.632944911866	0.4072987944	0.623774770177	0.4199677939	0.616005909188	0.4420199501	0.6116010219	9	0.4118412492	0.606810	0.110	0.4398496241	0.6024711	01111	0.4315090161	0.599312	0.1212	0.4300189994	0.593113	0.1313	0.4299302473	0.589014	0.1414	0.4371069182	0.58515	0.15	15	0.4304278922	0.58316	0.16	16	0.4352755906	0.58017	0.17	17	0.4717548077	0.57818	018	018	0.4310998736	0.5719	0.19	019	0.4343434343	0.5720	0.20	20	0.4305643627	0.57221	0.2121	0.4333543904	0.571622	0.2222	0.4375392341	0.569923	0.2323	0.4504950495	0.568624	0.2424	0.4670296431	0.567525	0.2525	0.4707655214	0.566626	0.2626	0.4643944005	0.564427	027	27	0.4701267351	0.563528	028	28	0.4823494512	0.562529	029	29	0.4959302326	0.561130	030	30	0.4985557481	0.560231	031	31	0.4997150997	0.558832	032	32	0.5070581592	0.55813333	0.33	0.5104108047	0.55713434	0.34	0.5093062606	0.5553535	0.435	0.5037037037	0.5543636	0.436	0.5104108047	0.5533737	0.437	0.5152618314	0.5523838	0.438	0.514573991	0.55193939	0.39	0.5143975398	0.55140	40	0.40	0.513884993	0.550641	41	41	0.5152447552	0.5501142	4242	0.5116409537	0.54904043	443	0.5142857143	0.548520544444	0.5156599553	0.5481088144545	0.5140134529	0.5478640044646	0.5154984641	0.5473861344747	0.5159128978	0.5468786648	48	0.5155505744	0.5465910449	49	0.5151175812	0.5462966550	50	0.5134831461	0.5460617551	51	0.5154234436	0.5457852	52	52	0.5156599553	0.5443853	53	53	0.5157865326	0.544054	054	54	0.5171548117	0.543755	05555	0.5175487465	0.5432956	05656	0.5161830357	0.542985757	057	0.5174240312	0.542535858	058	0.5159128978	0.54133559	0.59	0.5159128978	0.54070660	0.60	0.5156424581	0.54039661	061	0.5157689087	0.540066662	062	0.5171356924	0.5393363	0.63	0.5160390516	0.53915164	0.64	0.5160390516	0.53813765	0.65	0.5160390516	0.53788766	066	0.5164528723	0.53754667	0.67	0.5163088932	0.53727068	0.68	0.5161830357	0.5370369	0.69	0.5186629526	0.53672470	0.70	0.5168664622	0.53656671	0.71	0.5168852917	0.53599272	0.72	0.5170295924	0.53578273	0.73	0.5170295924	0.53550274	0.74	0.5172991071	0.53532275	0.75	0.5180016746	0.53516976	0.76	0.517877095	0.53499077	077	0.5180016746	0.534775778	078	0.5180016746	0.534519879	079	0.5179816002	0.53441680	0.80	0.5186837702	0.53375781	0.81	0.5179816002	0.53358382	0.82	0.5188074673	0.53315883	0.83	0.5206243032	0.53302284	84	0.5203342618	0.5326398985	85	0.5206243032	0.5325095186	86	0.5197992192	0.5324137587	87	0.5204792421	0.532331748888	0.5192200557	0.5321650589	89	0.5199219838	0.5319862790	90	0.5199219838	0.531901591	091	0.5207694452	0.53164392	092	0.5214963707	0.531127593	093	0.5212290503	0.53085594	0.94	0.522054718	0.530764895	095	0.5223463687	0.530642496	96	0.5227844562	0.5305253097	97	0.5239955357	0.530333898	098	0.5241417806	0.530198499	099	0.5237562884	0.5300153100	100	0.5234636872	0.5299501101	101	0.5235835892	0.5298419102	102	0.5236363636	0.529674103	0103	0.5234899329	0.529555104	0104	0.5230769231	0.529210105	0105	0.5248742314	0.529057106	0106	0.5250209673	0.52898107	0.107	0.5262569832	0.52889108	0.108	0.5268156425	0.52871109	0.109	0.5258452082	0.52852110110	0.5266685283	0.52844926111111	0.5269327379	0.52802623112112	0.5269327379	0.52737551113113	0.52734375	0.52728661741114	0.52787068	0.5271332324
115	0.5271966527	0.5270534572
116	0.5281650864	0.5268878158
117	0.5281337047	0.5267510137
118	0.5281337047	0.5266317057
119	0.5286588759	0.5265617113
120	0.529771842	0.52645746
121	0.5296244784	0.526356308
122	0.5296244784	0.526303696
123	0.529771842	0.5261357257
124	0.5292153589	0.5260161986
125	0.5296244784	0.5258321378
126	0.5300333704	0.5256869189
127	0.5320744238	0.5255785071
128	0.531779073	0.5250876658
129	0.531779073	0.524949466
130	0.5316315205	0.5248447509
131	0.531189354	0.5247570668
132	0.53078203	0.5246401329
133	0.5310421286	0.5245835
134	0.5308949848	0.5244158151
135	0.5310077519	0.5242900095
136	0.5316385742	0.5241805867
137	0.5316385742	0.5241039483
138	0.5320441989	0.5239899352
139	0.5321556721	0.5238747357
140	0.5320441989	0.5238155959
141	0.5321556721	0.5236782497
142	0.5332230494	0.5232185386
143	0.5332230494	0.5231766513
144	0.5328185328	0.5231457097
145	0.5314569536	0.5229599493
146	0.5345444536	0.522856797
147	0.5342503439	0.5227874358
148	0.5339939444	0.5227334003
149	0.5353507565	0.5225637746
150	0.5361561727	0.5224313536
151	0.5361164515	0.5223681173
152	0.5362637363	0.522301406
153	0.5359692477	0.5222443974
154	0.5362239297	0.5221052205
155	0.5363711227	0.5219478185
156	0.5375754251	0.5218618213
157	0.5378289474	0.5217432381
158	0.5394304491	0.5216294572
159	0.5389876881	0.5214084576
160	0.541382136	0.5212980882
161	0.5408805031	0.5212553377
162	0.5415300546	0.5212219368
163	0.5419284349	0.5209631799
164	0.5415300546	0.5208291805
165	0.5417804478	0.5207712564
166	0.5422343324	0.52071268
167	0.5420305677	0.5206324366
168	0.5429740791	0.520549142
169	0.5422804146	0.5205274543
170	0.5429272281	0.5204297073
171	0.5434723358	0.5203179228
172	0.5436205016	0.5202365776
173	0.5426779384	0.5201651094
174	0.5426314356	0.5200660129
175	0.5426314356	0.5200098571
176	0.5434249932	0.5198025852
177	0.5427327164	0.5197006134
178	0.5429815016	0.5196680521
179	0.5423359652	0.519596049
180	0.5429815016	0.5194848034
181	0.5427792916	0.5193983476
182	0.5424836601	0.5193199567
183	0.5424836601	0.5192557148
184	0.5426314356	0.5191763905
185	0.5424836601	0.5191008052
186	0.5427327164	0.5190663835
187	0.542585034	0.5189903638
188	0.5428804792	0.5189383598
189	0.5420866249	0.5188546421
190	0.5420866249	0.518849244
191	0.5420866249	0.5187003341
192	0.5419847328	0.5186081776
193	0.5419847328	0.5185310844
194	0.5421325334	0.5184891878
195	0.5419847328	0.518453404
196	0.5414394766	0.518378129
197	0.5414394766	0.5183557976
198	0.5427792916	0.5183086829
199	0.5426314356	0.51825626
200	0.5430283224	0.5182072996
201	0.5430283224	0.5181179451
202	0.5430283224	0.5180560994
203	0.5442658676	0.5179852136
204	0.543821448	0.5179195717
205	0.543821448	0.5177939824
206	0.544465597	0.5177402861
207	0.544465597	0.5176439183
208	0.544465597	0.5175437933
209	0.544465597	0.517480741
210	0.5441696113	0.517446698
211	0.5444172779	0.5171889557
212	0.5463917526	0.5170415751
213	0.5459972863	0.5169536158
214	0.5465400271	0.516886276
215	0.5460472698	0.5168530576
216	0.5466883822	0.5167243641
217	0.5462937822	0.5166751114
218	0.5475738683	0.5165867929
219	0.548212351	0.5162462382
32	0.5208634385
4087676
